timestamp,icao,callsign,latitude,longitude,altitude,velocity,heading,label
,8014E8,IGO594,20.451645,78.196564,50000.0,700.0,258.33,0
,801562,IGO64CY,20.759319,78.427302,50000.0,700.0,252.23,0
,8016AF,AXB2786,17.767822,79.196344,50000.0,700.0,25.54,0
,06A2F0,,17.865725,82.622435,50000.0,700.0,104.71,0
,800B44,AXB1283,20.576415,82.822632,50000.0,700.0,96.18,0
,70C0F6,OMA844,17.881256,82.912662,50000.0,700.0,286.63,0
,801681,AXB1486,17.868668,83.062134,50000.0,700.0,40.37,0
,8013D6,AIC2106,17.724747,83.491227,50000.0,700.0,286.5,0
,7C4922,QFA2,22.026098,83.536224,50000.0,700.0,130.24,0
,801698,AXB1244,21.956316,83.787791,50000.0,700.0,221.88,0
,4B1921,SWR176,18.320618,84.088178,50000.0,700.0,134.44,0
,781C40,CSS253,19.378719,84.468334,50000.0,700.0,214.35,0
,4D2352,SEJ802,20.208001,84.846513,50000.0,700.0,215.83,0
,801549,AKJ1143,22.976807,84.917225,50000.0,700.0,41.98,0
,76CD77,SIA308,21.020599,84.972627,50000.0,700.0,326.01,0
,801657,AIC4EC,21.15222,85.027924,50000.0,700.0,326.63,0
,8962E5,ETD403,17.226702,85.05885,50000.0,700.0,283.89,0
,8015D9,IGO927,19.655426,85.068737,50000.0,700.0,237.66,0
,80174C,IGO7035,20.82312,85.136686,32808.4,495.290432,322.82,0
,76CD7A,SIA319,17.305023,85.162835,50000.0,700.0,134.92,0
,800B14,IGO6394,20.726257,85.423262,34284.778,599.4802559999999,136.58,0
,06A30A,QTR8955,22.583817,85.436729,50000.0,700.0,257.4,0
,7815D9,CBJ455,20.036176,85.48387,50000.0,700.0,244.09,0
,80145C,IGO920J,20.086441,85.69076,34776.904,570.128272,246.49,0
,8013F6,IGO416E,22.708099,85.70854,50000.0,700.0,253.46,0
,800C11,IGO565,21.951056,85.860138,50000.0,700.0,225.0,0
,06A3B6,QTR8961,22.788849,86.080378,50000.0,700.0,254.33,0
,8A0A13,UBG337,20.343049,86.104198,50000.0,700.0,250.28,0
,300A9D,ITY759,22.792099,86.214011,50000.0,700.0,300.35,0
,800D2D,IGO6793,20.30185,86.636586,50000.0,700.0,100.24,0
