icao,timestamp,latitude,longitude,altitude,velocity,heading,label
3C7A44,,18.799759,84.910927,50000.0,700.0,313.96,0
406F7C,,18.094762,84.319627,50000.0,700.0,134.6,0
740828,,21.369736,82.971347,50000.0,700.0,112.35,0
75059A,,19.717107,85.004217,50000.0,700.0,307.66,0
76CD48,,19.143539,83.185092,50000.0,700.0,134.13,0
8003B0,,17.630031,80.430369,50000.0,700.0,74.7,0
80044D,,17.736649,82.545102,50000.0,700.0,18.63,0
800B12,,20.369211,85.721275,6807.743,343.67091200000004,143.97,0
800BC4,,19.854263,85.846383,50000.0,700.0,53.72,0
800CE0,,19.071986,79.627408,45931.76,448.44388799999996,345.18,0
800D9A,,22.374023,84.905989,50000.0,700.0,257.77,0
801411,,24.599258,83.17922,50000.0,700.0,164.6,0
801435,,19.399338,78.74794,50000.0,700.0,184.09,0
8014AF,,23.829718,83.640212,50000.0,700.0,52.42,0
8014DA,,22.599436,85.651855,50000.0,700.0,255.48,0
8014F7,,22.133541,84.123789,50000.0,700.0,256.34,0
801546,,18.189651,80.299612,50000.0,700.0,218.33,0
801548,,18.654459,79.630255,50000.0,700.0,28.81,0
80155C,,20.326942,84.639121,50000.0,700.0,279.42,0
8015E6,,19.036793,84.746787,50000.0,700.0,233.58,0
80160D,,18.919968,85.849375,50000.0,700.0,39.79,0
80168A,,19.707238,85.927468,50000.0,700.0,226.92,0
801699,,22.031525,84.211853,50000.0,700.0,324.33,0
80169E,,19.818832,83.628862,50000.0,700.0,18.63,0
8016BC,,17.381023,81.121723,50000.0,700.0,261.76,0
8016C7,,20.515091,86.851142,50000.0,700.0,227.21,0
801759,,19.626563,86.452764,50000.0,700.0,135.0,0
80184B,,17.434092,79.680012,50000.0,700.0,218.06,0
